lesson_gap,kg_proximity,difficulty_fit,duration_fit,style_type_fit,prereq_readiness,rule_score,content_score,tag_overlap,tfidf_lesson_sim,graph_score,gnn_style_affinity,kg_resource_centrality,risk_score,engagement_norm,performance_norm,attendance_ratio,gpa_norm,prior_score,time_budget,interaction_density_norm,submission_delay,forum_activity,n_gap_norm,quiz_gap,assessment_gap,resource_appetite,ability,res_duration_norm,res_difficulty,res_is_video,res_is_lab,res_is_pdf,res_prereq_count,res_lesson_size,student_id,resource_id,predicted_relevance
1.0,1.0,0.8711959,0.9852944,0.85,1.0,0.81347,0.7768837,0.4857143,0.67452884,0.7124822,0.38757885,0.5,0.55,0.619,0.536,0.676,0.280543,0.5,0.32222223,0.20911317,0.0,0.6666667,0.33333334,0.11594203,0.7368421,0.5135135,0.46967083,0.25,0.6,0.0,0.0,1.0,0.5,0.1,ST1011,R016,0.9317
1.0,1.0,0.8330846,0.6270891,1.0,1.0,0.78387,0.54330504,0.3,0.6404956,0.7512287,0.35903326,0.42857143,0.55,0.715,0.524,0.957,0.054298643,0.5,0.93333334,0.009957974,0.0,0.6,0.33333334,0.13043478,0.7368421,0.5135135,0.40820095,0.4,0.6,0.0,1.0,0.0,0.5,0.1,ST1012,R017,0.90081
1.0,1.0,0.863594,0.6956122,1.0,0.0,0.71819,0.42456168,0.22295082,0.37025395,0.71771,0.5102868,0.5,0.55,0.468,0.746,0.213,0.06787331,0.5,0.85555553,0.059232276,1.0,0.33333334,0.33333334,0.014492754,0.30526316,0.6756757,0.4942032,0.4,0.35,1.0,0.0,0.0,0.5,1.0,ST1013,R007,0.81474
1.0,1.0,0.8183119,0.58231676,1.0,1.0,0.77554,0.48974532,0.22666667,0.5903008,0.7082119,0.35903326,0.42857143,0.55,0.6,0.361,0.807,0.42986426,0.25,0.98888886,0.045573875,0.0,0.2,0.33333334,0.5797101,0.7894737,0.16216215,0.38437408,0.4,0.6,0.0,1.0,0.0,0.5,0.1,ST1014,R017,0.85959
1.0,1.0,0.7863739,0.78896207,0.85,1.0,0.77295,0.5645239,0.4047619,0.5675961,0.7144727,0.7870934,0.9285714,0.55,0.503,0.4,0.406,0.108597286,0.5,0.51111114,0.13565654,0.0,0.53333336,0.33333334,0.11594203,0.3859649,0.1891892,0.3328611,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1015,R012,0.88052
1.0,1.0,0.75204426,0.540741,1.0,1.0,0.7573,0.5629828,0.27567568,0.57430214,0.59306335,0.8731281,0.35714287,0.55,0.483,0.27,0.751,0.40271494,0.5,0.54444444,0.15053296,0.6,0.0,0.33333334,0.20289855,0.5263158,0.4864865,0.35154152,0.1,0.15,0.0,0.0,1.0,0.0,0.1,ST1016,R002,0.84995
1.0,1.0,0.93210226,0.87517333,0.7,1.0,0.79144,0.35264313,0.19710144,0.3649005,0.7681675,0.6567126,1.0,0.55,0.382,0.17,0.354,0.85067874,0.25,0.23333333,0.14183657,0.0,0.06666667,0.33333334,0.71014494,0.31578946,0.3783784,0.38370603,0.25,0.35,0.0,0.0,1.0,0.5,1.0,ST1017,R004,0.86912
1.0,1.0,0.81314695,0.8882354,0.7,1.0,0.90722,0.46195063,0.29310346,0.4726033,0.6434712,0.69074404,0.9285714,0.85,0.427,0.289,0.519,0.22624435,1.0,0.24444444,0.20341541,0.8,0.2,0.6666667,0.79710144,0.08421053,0.7027027,0.3760435,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1018,R012,0.94882
1.0,1.0,0.73722804,0.7218587,0.7,1.0,0.87207,0.84260094,0.33170733,0.84260094,0.41881603,0.72681963,0.64285713,0.85,0.435,0.413,0.374,0.25791857,0.5,0.5777778,0.12506902,0.4,0.0,0.33333334,0.8405797,0.3508772,0.4054054,0.37543866,0.25,0.15,0.0,0.0,1.0,1.0,0.0,ST1019,R003,0.94099
1.0,1.0,0.728981,0.89483935,0.55,1.0,0.73218,0.44379795,0.255,0.49274015,0.61243343,0.41113195,0.35714287,0.55,0.399,0.477,0.689,0.2081448,0.5,0.16666667,0.2860107,0.8,1.0,0.6666667,0.92753625,0.70526314,0.27027026,0.38874027,0.1,0.15,0.0,0.0,1.0,0.0,0.1,ST1020,R002,0.80974
1.0,1.0,0.61214066,0.8882354,1.0,1.0,0.77102,0.81100994,0.38857144,0.81100994,0.50715715,0.4794069,0.64285713,0.55,0.63,0.366,0.597,0.800905,0.75,0.24444444,0.24954715,0.2,0.2,0.33333334,0.98550725,0.17894737,0.972973,0.5771925,0.25,0.15,0.0,0.0,1.0,1.0,0.0,ST1021,R003,0.78141
1.0,1.0,0.6773366,0.6459475,1.0,1.0,0.75498,0.6571161,0.5,0.6571161,0.8098724,0.54141074,0.5,0.55,0.527,0.702,0.875,0.21266969,0.75,0.25555557,0.20203717,0.0,0.26666668,0.6666667,0.5072464,0.5263158,0.5675676,0.5602203,0.4,0.85,0.0,0.0,1.0,0.5,0.0,ST1022,R031,0.77152
1.0,1.0,0.735345,0.935507,0.7,1.0,0.89733,0.4756306,0.21702127,0.48516044,0.7429594,0.77259135,0.35714287,0.85,0.341,0.282,0.398,0.5339367,0.5,0.13333334,0.057754908,0.4,0.33333334,0.6666667,0.82608694,0.24561404,0.6486486,0.3784758,0.1,0.15,0.0,0.0,1.0,0.0,0.1,ST1023,R002,0.94615
1.0,1.0,0.9924562,0.49109823,0.85,1.0,0.64042,0.94903314,0.7157895,0.94903314,0.5950802,0.8045957,0.5,0.2,0.603,0.868,0.553,0.32579187,0.75,0.8666667,0.077365324,0.0,0.93333334,0.33333334,0.3768116,0.0,0.27027026,0.68958676,0.25,0.6,0.0,0.0,1.0,0.5,0.0,ST1024,R028,0.78877
1.0,1.0,0.9300484,0.87517333,0.55,1.0,0.77003,0.38992497,0.25660378,0.3824846,0.50538826,0.61282146,0.5714286,0.55,0.354,0.568,0.612,0.78280544,0.25,0.23333333,0.061352313,0.0,0.0,0.6666667,0.85507244,0.6315789,0.4864865,0.5645942,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1025,R008,0.83457
1.0,1.0,0.826997,0.70599425,0.95,0.0,0.70512,0.29084298,0.20923077,0.33883008,0.81901133,0.57073003,0.5,0.55,0.484,0.353,0.783,0.9321267,0.5,0.17777778,0.034782186,1.0,0.33333334,0.6666667,0.4057971,0.29473683,0.6486486,0.55323064,0.0,0.35,1.0,0.0,0.0,0.5,1.0,ST1026,R005,0.80469
1.0,1.0,0.9602212,0.8882354,0.5,1.0,0.77063,0.27040732,0.24727273,0.41221637,0.75339943,0.646958,0.42857143,0.55,0.33,0.811,0.489,0.53846157,0.25,0.42222223,0.124579966,0.8,0.0,0.6666667,0.36231884,0.14736842,0.35135135,0.61326,0.25,0.6,0.0,1.0,0.0,0.5,0.6,ST1027,R027,0.85626
1.0,1.0,0.9926326,0.97080505,0.55,1.0,0.79402,0.5556978,0.5151515,0.5921376,0.47558472,0.17590761,0.9285714,0.55,0.493,0.525,0.765,0.88235295,0.75,0.31111112,0.13167013,0.0,0.13333334,0.33333334,0.5072464,0.6421053,0.7027027,0.66553646,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1028,R012,0.88918
1.0,1.0,0.67663026,0.9424624,0.7,1.0,0.88642,0.52203554,0.3617021,0.4747318,0.61785793,0.653635,0.71428573,0.85,0.491,0.112,0.347,0.018099548,0.5,0.37777779,0.18628584,0.4,0.93333334,0.33333334,0.98550725,0.36842105,0.4864865,0.15585528,0.25,0.6,0.0,0.0,1.0,0.5,0.7,ST1029,R029,0.81319
1.0,1.0,0.79399717,0.70599425,0.7,1.0,0.88152,0.47223058,0.23181818,0.4816923,0.7271415,0.77259135,0.35714287,0.85,0.395,0.363,0.501,0.18099548,0.25,0.34444445,0.075780585,0.6,0.93333334,0.6666667,0.1594203,0.6315789,0.5405405,0.28387555,0.1,0.15,0.0,0.0,1.0,0.0,0.1,ST1030,R002,0.9345
1.0,1.0,0.9331952,0.46628278,0.5,1.0,0.71459,0.33373094,0.18888889,0.39615026,0.8990288,0.7227277,0.42857143,0.55,0.347,0.519,0.289,0.88687783,0.25,0.011111111,0.63236374,0.0,0.53333336,0.6666667,0.98550725,0.10526316,0.4864865,0.56966966,0.4,0.6,0.0,1.0,0.0,0.5,0.1,ST1031,R017,0.80965
1.0,1.0,0.9241337,0.9149472,0.55,1.0,0.77362,0.5834545,0.36756757,0.5659777,0.69984937,0.61282146,0.5714286,0.55,0.654,0.395,0.976,0.7918552,0.5,0.26666668,0.12796882,0.0,0.8,0.33333334,0.92753625,0.14736842,1.0,0.5550544,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1032,R008,0.87382
1.0,1.0,0.82061636,0.90149236,1.0,1.0,0.8143,0.6995609,0.34871796,0.59479797,0.7074857,0.6296382,0.5,0.55,0.638,0.348,0.559,0.4479638,0.25,0.25555557,0.2669327,0.0,0.73333335,0.33333334,0.884058,0.8,0.6216216,0.3880909,0.25,0.6,0.0,0.0,1.0,0.5,0.1,ST1033,R016,0.91418
0.0,0.35,0.8742885,0.6459475,1.0,1.0,0.53999,0.04979689,0.14166667,0.043319315,0.5801463,0.35903326,0.42857143,0.55,0.636,0.602,0.351,0.1764706,0.5,0.9111111,0.07657433,0.0,0.8,0.0,0.5362319,0.05263158,0.35135135,0.47465888,0.4,0.6,0.0,1.0,0.0,0.5,0.1,ST1034,R017,0.55554
1.0,1.0,0.9692102,0.73263246,1.0,1.0,0.68576,0.5566953,0.43589744,0.563873,0.65645057,0.3999952,0.9285714,0.2,0.542,0.812,0.687,0.8235294,0.25,0.1,0.078049265,0.0,0.6,0.33333334,0.82608694,0.28070176,0.8108108,0.7270803,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1035,R012,0.8269
1.0,1.0,0.86836505,0.90149236,0.7,1.0,0.78185,0.47690332,0.35416666,0.42906886,0.73946023,0.653635,0.71428573,0.55,0.383,0.343,0.537,0.57466066,0.75,0.25555557,0.17935525,0.6,0.8,0.6666667,0.1884058,0.45614034,0.3243243,0.46510488,0.25,0.6,0.0,0.0,1.0,0.5,0.7,ST1036,R029,0.87306
1.0,1.0,0.8674479,0.82481796,0.5,1.0,0.74447,0.26778737,0.24727273,0.40849313,0.7893714,0.646958,0.42857143,0.55,0.5,0.457,0.977,0.4479638,0.5,0.18888889,0.14022192,1.0,0.0,0.6666667,0.42028984,0.7719298,0.6756757,0.4636257,0.25,0.6,0.0,1.0,0.0,0.5,0.6,ST1037,R027,0.85238
1.0,1.0,0.7769679,0.5288571,0.7,1.0,0.85686,0.76796573,0.4,0.6472668,0.5023861,0.29665312,0.5,0.85,0.413,0.374,0.402,0.26696834,0.25,0.8111111,0.09555812,0.6,0.4,0.33333334,0.11594203,0.48421052,0.13513513,0.31769013,0.25,0.6,0.0,0.0,1.0,0.5,0.1,ST1038,R016,0.93331
1.0,1.0,0.8807783,0.8187308,1.0,0.0,0.7364,0.44852856,0.1721519,0.35146293,0.80656517,0.58268344,0.5,0.55,0.309,0.41,0.701,0.74660635,0.25,0.43333334,0.07773661,0.8,0.06666667,0.6666667,0.072463766,0.42105263,0.2972973,0.4664866,0.4,0.35,1.0,0.0,0.0,0.5,0.3,ST1039,R011,0.84418
1.0,1.0,0.6886274,0.6042884,0.7,1.0,0.71024,0.96209806,0.75555557,0.96209806,0.7359779,0.72681963,0.64285713,0.55,0.597,0.554,0.515,0.08144797,0.75,0.7111111,0.11241631,0.0,0.26666668,0.33333334,0.10144927,0.042105265,0.6756757,0.45382673,0.25,0.15,0.0,0.0,1.0,1.0,0.0,ST1040,R003,0.77102
1.0,1.0,0.5138168,0.6270891,0.7,1.0,0.81601,0.8458882,0.4857143,0.8458882,0.32880843,0.07427398,0.5,0.85,0.565,0.129,0.669,0.42533937,0.5,0.23333333,0.23238136,0.0,0.93333334,0.33333334,0.5797101,0.94736844,0.8108108,0.29647866,0.4,0.85,0.0,0.0,1.0,0.5,0.0,ST1041,R031,0.72005
1.0,1.0,0.7820086,0.88168013,1.0,1.0,0.9422,0.5308379,0.26842105,0.6398306,0.37475997,0.35903326,0.42857143,0.85,0.595,0.413,0.361,0.022624435,0.5,0.67777777,0.10727179,0.2,0.26666668,0.33333334,0.028985508,0.15789473,0.6756757,0.32582027,0.4,0.6,0.0,1.0,0.0,0.5,0.1,ST1042,R017,0.95556
1.0,1.0,0.892785,0.8687145,1.0,1.0,0.8248,0.524934,0.41463414,0.5297043,0.78236836,0.5542223,0.71428573,0.55,0.537,0.578,0.974,0.29411766,0.25,0.6888889,0.03058385,0.0,0.13333334,0.33333334,0.9710145,0.6315789,0.5945946,0.4471209,0.4,0.35,0.0,0.0,1.0,0.5,0.3,ST1043,R010,0.91931
1.0,1.0,0.77507377,0.6753038,0.9,0.0,0.68405,0.28757718,0.20298508,0.34130874,0.7496912,0.16889861,0.5,0.55,0.402,0.641,0.223,0.87782806,0.25,0.21111111,0.2611753,0.6,0.8,0.6666667,0.04347826,0.14736842,0.5405405,0.6369778,0.0,0.35,1.0,0.0,0.0,0.5,1.0,ST1044,R005,0.79499
1.0,1.0,0.7286554,0.5737534,0.85,1.0,0.59758,0.6697694,0.43589744,0.6697694,0.7810055,0.59344965,0.5,0.2,0.68,0.866,0.881,0.1402715,0.75,1.0,0.04565788,1.0,0.26666668,0.6666667,0.73913044,0.07017544,0.27027026,0.6429926,0.4,0.85,0.0,0.0,1.0,0.5,0.0,ST1045,R031,0.77711
1.0,1.0,0.8459395,0.9149472,0.55,1.0,0.75798,0.32237968,0.2,0.33778194,0.7268415,0.745374,1.0,0.55,0.371,0.68,0.937,0.44343892,0.25,0.26666668,0.07354331,0.4,0.26666668,0.6666667,0.5072464,0.042105265,0.45945945,0.5226782,0.25,0.35,0.0,0.0,1.0,0.5,1.0,ST1046,R004,0.82765
1.0,1.0,0.84394765,0.7218587,0.7,1.0,0.89341,0.47012022,0.3469388,0.4726787,0.65925866,0.69074404,0.9285714,0.85,0.514,0.364,0.523,0.47511312,0.5,0.5777778,0.1347942,0.6,0.4,0.6666667,0.1884058,0.031578947,0.5135135,0.42572206,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1047,R012,0.94091
1.0,1.0,0.59024334,0.69047856,1.0,1.0,0.60491,0.7829434,0.38857144,0.7829434,0.42496493,0.4794069,0.64285713,0.2,0.69,0.768,0.987,0.4524887,0.25,0.055555556,0.4129791,0.8,0.8,0.33333334,0.65217394,0.57894737,0.8918919,0.61251074,0.25,0.15,0.0,0.0,1.0,1.0,0.0,ST1048,R003,0.64568
1.0,1.0,0.8947697,0.84962267,0.5,1.0,0.75291,0.26555976,0.23050848,0.40509507,0.7863953,0.646958,0.42857143,0.55,0.458,0.636,0.632,0.18099548,0.75,0.45555556,0.04500559,0.0,0.0,0.6666667,0.6376812,0.84210527,0.7027027,0.5076931,0.25,0.6,0.0,1.0,0.0,0.5,0.6,ST1049,R027,0.85721
1.0,1.0,0.6686085,0.5998287,0.55,1.0,0.6847,0.67806894,0.5483871,0.67806894,0.8059888,0.67154264,0.5,0.55,0.276,0.641,0.647,0.3800905,0.75,0.2,0.18021032,0.0,0.06666667,0.6666667,0.17391305,0.33684212,0.1891892,0.54614276,0.4,0.85,0.0,0.0,1.0,0.5,0.0,ST1050,R031,0.7177
1.0,1.0,0.82978004,0.77162296,0.65,1.0,0.88955,0.50217015,0.255,0.6172766,0.35299876,0.06247129,0.42857143,0.85,0.431,0.202,0.263,0.5882353,0.75,0.7777778,0.008492596,0.4,0.4,0.33333334,0.36231884,0.7017544,0.7027027,0.40287098,0.4,0.6,0.0,1.0,0.0,0.5,0.1,ST1051,R017,0.93963
1.0,1.0,0.8072822,0.700784,0.7,1.0,0.88355,0.46996236,0.3469388,0.48079976,0.6403126,0.69074404,0.9285714,0.85,0.361,0.354,0.455,0.36199096,0.5,0.6,0.052999973,0.0,0.13333334,0.6666667,0.49275362,0.0,0.5405405,0.36658424,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1052,R012,0.92762
1.0,1.0,0.9307532,0.5367503,0.85,1.0,0.63356,0.5572384,0.32380953,0.53674513,0.3044682,0.20855115,0.5714286,0.2,0.697,0.807,0.692,0.84615386,0.5,0.8,0.06563826,0.8,1.0,0.33333334,0.5797101,0.0,0.45945945,0.7891078,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1053,R008,0.75568
1.0,1.0,0.87400645,0.7218587,0.5,1.0,0.73342,0.3050197,0.31627908,0.46304432,0.83060944,0.646958,0.42857143,0.55,0.474,0.615,0.706,0.3484163,0.25,0.08888889,0.33697364,0.0,0.6,0.33333334,0.79710144,0.36842105,0.7837838,0.47420394,0.25,0.6,0.0,1.0,0.0,0.5,0.6,ST1054,R027,0.83715
1.0,1.0,0.922119,0.7112433,0.85,1.0,0.79077,0.91990966,0.5037037,0.91990966,0.54207015,0.8045957,0.5,0.55,0.585,0.574,0.465,0.6289593,0.25,0.07777778,0.39398113,0.0,0.6,0.33333334,0.014492754,0.15789473,0.8648649,0.55180484,0.25,0.6,0.0,0.0,1.0,0.5,0.0,ST1055,R028,0.91663
1.0,1.0,0.9547097,0.7218587,1.0,1.0,0.81956,0.3561139,0.24727273,0.36729312,0.47415128,0.055173926,1.0,0.55,0.721,0.44,0.878,0.11764706,0.25,0.5777778,0.15558596,0.0,1.0,0.33333334,0.44927537,0.3263158,0.8378378,0.34724241,0.25,0.35,0.0,0.0,1.0,0.5,1.0,ST1056,R004,0.8686
1.0,1.0,0.9246213,0.4874739,1.0,0.0,0.84342,0.38395813,0.19710144,0.33688208,0.49762976,0.008537748,0.5,0.85,0.348,0.443,0.278,0.3122172,0.5,0.044444446,0.5930754,1.0,0.8,0.6666667,0.4347826,0.10526316,0.4054054,0.39577213,0.4,0.35,1.0,0.0,0.0,0.5,1.0,ST1057,R007,0.97047
1.0,1.0,0.8114661,0.92860293,0.7,1.0,0.91173,0.46996236,0.3469388,0.48079976,0.6167106,0.69074404,0.9285714,0.85,0.35,0.42,0.293,0.2760181,0.5,0.3888889,0.15700935,0.0,0.0,0.6666667,0.0,0.23157895,0.5405405,0.3733324,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1058,R012,0.95519
1.0,1.0,0.91820884,0.41111228,0.85,1.0,0.75398,0.5098602,0.3207547,0.46763995,0.64710927,0.5672174,0.71428573,0.55,0.605,0.323,0.268,0.9049774,0.5,1.0,0.06541006,0.0,0.93333334,0.33333334,0.6376812,0.8736842,0.7027027,0.54549813,0.25,0.6,0.0,0.0,1.0,0.5,0.7,ST1059,R029,0.74119
1.0,1.0,0.7544049,0.6459475,0.7,1.0,0.72839,0.8910573,0.5862069,0.8910573,0.53829783,0.07427398,0.5,0.55,0.559,0.581,0.404,0.94570136,0.5,0.25555557,0.270713,0.8,0.6666667,0.33333334,0.10144927,0.31578946,0.8648649,0.684524,0.4,0.85,0.0,0.0,1.0,0.5,0.0,ST1060,R031,0.86302
1.0,1.0,0.86717814,0.48387632,0.7,1.0,0.7315,0.7545437,0.36756757,0.6359543,0.5639079,0.29665312,0.5,0.55,0.521,0.405,0.517,0.65158373,0.25,0.87777776,0.05841328,0.0,0.33333334,0.33333334,0.20289855,0.85263157,0.5135135,0.4631905,0.25,0.6,0.0,0.0,1.0,0.5,0.1,ST1061,R016,0.85056
1.0,1.0,0.67741376,0.505867,0.85,1.0,0.71719,0.8895766,0.59130436,0.8895766,0.547697,0.4577813,0.64285713,0.55,0.67,0.56,0.521,0.09954751,0.75,0.84444445,0.041644588,0.0,0.8,0.33333334,0.8405797,0.17894737,0.5675676,0.4719133,0.25,0.15,0.0,0.0,1.0,1.0,0.0,ST1062,R003,0.75963
1.0,1.0,0.9014387,0.88168013,1.0,1.0,0.82809,0.38699472,0.29310346,0.3776744,0.814608,0.5542223,0.71428573,0.55,0.593,0.534,0.926,0.29864255,0.25,0.4888889,0.12751584,1.0,0.0,0.6666667,0.76811594,0.42105263,0.35135135,0.43316334,0.4,0.35,0.0,0.0,1.0,0.5,0.3,ST1063,R010,0.89916
1.0,1.0,0.84795666,0.54476136,0.7,1.0,0.87296,0.38896397,0.25660378,0.45192158,0.7567977,0.7803813,0.42857143,0.85,0.519,0.342,0.337,0.40723982,0.75,0.7888889,0.11224288,0.6,0.73333335,0.33333334,0.76811594,0.38947368,0.3243243,0.43218815,0.25,0.6,0.0,0.0,1.0,0.5,0.6,ST1064,R023,0.90383
0.0,0.35,0.9981247,0.6956122,1.0,1.0,0.57072,0.04979689,0.14166667,0.043319315,0.586027,0.35903326,0.42857143,0.55,0.745,0.706,0.481,0.51131225,0.75,0.85555553,0.10463958,0.0,1.0,0.0,0.5072464,0.07368421,0.8108108,0.680444,0.4,0.6,0.0,1.0,0.0,0.5,0.1,ST1065,R017,0.57632
0.0,0.35,0.98881674,0.6555883,0.6,1.0,0.53703,0.08865055,0.17,0.047276337,0.41711882,0.33972898,0.5,0.85,0.791,0.269,0.573,0.07692308,0.25,0.9,0.07225306,0.2,0.6,0.0,0.98550725,0.18947369,0.9459459,0.25615606,0.4,0.35,1.0,0.0,0.0,0.5,1.0,ST1066,R007,0.58798
1.0,1.0,0.9383678,0.62246114,0.55,1.0,0.74137,0.5888762,0.4121212,0.57123697,0.7080556,0.61282146,0.5714286,0.55,0.557,0.518,0.783,0.57466066,0.75,0.6888889,0.0776541,0.0,0.26666668,0.33333334,0.5362319,0.7157895,0.5945946,0.5780126,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1067,R008,0.84475
1.0,1.0,0.7546711,0.99261993,0.85,1.0,0.65305,0.8843058,0.4857143,0.8843058,0.7074125,0.59344965,0.5,0.2,0.568,0.627,0.315,0.8642534,0.5,0.5777778,0.04559081,0.2,0.8,0.33333334,0.6956522,0.4631579,0.8648649,0.6849534,0.4,0.85,0.0,0.0,1.0,0.5,0.0,ST1068,R031,0.82727
1.0,1.0,0.58571935,0.6555883,0.7,1.0,0.69581,0.6144703,0.28333333,0.62423134,0.54835725,0.77259135,0.35714287,0.55,0.402,0.752,0.315,0.3800905,0.75,0.4,0.0978181,0.2,0.93333334,0.33333334,0.92753625,0.08421053,0.7027027,0.61980754,0.1,0.15,0.0,0.0,1.0,0.0,0.1,ST1069,R002,0.68307
1.0,1.0,0.95166665,0.65075004,1.0,1.0,0.81042,0.5891391,0.4,0.5657963,0.48416242,0.15443696,0.5714286,0.55,0.511,0.458,0.985,0.7692308,0.75,0.011111111,0.870524,0.0,0.0,0.33333334,0.028985508,0.21052632,0.45945945,0.59946233,0.25,0.6,0.0,0.0,1.0,0.5,0.3,ST1070,R008,0.89125
1.0,1.0,0.60240805,0.45266968,1.0,1.0,0.7168,0.6232106,0.60714287,0.6111648,0.43190494,0.5094364,0.42857143,0.55,0.562,0.804,0.647,0.13122173,0.75,0.98888886,0.03150268,0.2,0.53333336,0.33333334,0.1594203,0.15789473,0.7027027,0.5928902,1.0,0.15,0.0,0.0,1.0,0.0,0.1,ST1071,R001,0.68694
1.0,1.0,0.9309545,0.6459475,1.0,0.0,0.8637,0.5792506,0.28333333,0.5456225,0.48472518,0.0,0.5,0.85,0.514,0.46,0.359,0.1764706,0.5,0.9111111,0.017137,0.2,0.2,0.33333334,0.8115942,0.1754386,1.0,0.38555723,0.4,0.35,1.0,0.0,0.0,0.5,0.3,ST1072,R011,0.9807
