student_id,rank,resource_id,resource_title,lesson,type,difficulty,minutes,predicted_relevance,strategy,reason,risk_level,learning_style,lms_url
ST1002,5,R040,Lecture Recording - Cypress,Software Testing,Video,Advanced,60,0.539,Rule-based filter,Targets a lesson flagged as non-engaged; format suits the learning style; fits the available study time; revisit prerequisites first,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=363212
ST1002,6,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.522,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349961
ST1003,1,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.9774,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; fits the available study time,High Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349961
ST1003,2,R010,Lab Session 02 - VCS Part 02,Agile & Scrum,PDF,Beginner,60,0.9272,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,High Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=347959
ST1003,3,R012,Lesson 04 - Requirements Engineering,Requirements Engineering,PDF,Intermediate,45,0.9062,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; strong gnn embedding similarity,High Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=347768
ST1003,4,R008,Lesson 03 - Agile Scrum,Agile & Scrum,PDF,Intermediate,45,0.8913,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability,High Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=347831
ST1003,5,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.6465,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time,High Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349960
ST1003,6,R035,Testing Lecture and Lab (Recording),Software Testing,Video,Intermediate,90,0.5915,Context-aware,Difficulty matches current ability; format suits the learning style,High Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=362804
ST1004,1,R017,Lab Session 3 (Git),UI/UX Design,URL/Lab,Intermediate,60,0.5778,Context-aware,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability; format suits the learning style,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=351823
ST1004,2,R027,Maven Lab - 2,Managing Software Projects,URL/Lab,Intermediate,45,0.542,Context-aware,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability; format suits the learning style,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=354271
ST1004,3,R035,Testing Lecture and Lab (Recording),Software Testing,Video,Intermediate,90,0.5376,Rule-based filter,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability; fits the available study time,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=362804
ST1004,4,R030,Testing - Lecture Recording,Software Testing,Video,Intermediate,60,0.5337,Context-aware,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=354273
ST1004,5,R021,Maven Lab Session (Recording),Software Development Models,URL/Video,Intermediate,45,0.5176,Context-aware,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=351818
ST1004,6,R006,Lab Session 01 - Version Control Systems (VCS),Software Development Models,PDF,Beginner,60,0.5156,Context-aware,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=346072
ST1005,1,R010,Lab Session 02 - VCS Part 02,Agile & Scrum,PDF,Beginner,60,0.8572,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=347959
ST1005,2,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.8482,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349961
ST1005,3,R012,Lesson 04 - Requirements Engineering,Requirements Engineering,PDF,Intermediate,45,0.8388,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=347768
ST1005,4,R008,Lesson 03 - Agile Scrum,Agile & Scrum,PDF,Intermediate,45,0.8336,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=347831
ST1005,5,R015,In Class Activity - Group 02,Requirements Engineering,PDF,Intermediate,30,0.619,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; strong gnn embedding similarity; revisit prerequisites first,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=348331
ST1005,6,R014,In Class Activity - Group 01,Requirements Engineering,PDF,Intermediate,30,0.6163,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; strong gnn embedding similarity; revisit prerequisites first,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=347770
ST1006,1,R012,Lesson 04 - Requirements Engineering,Requirements Engineering,PDF,Intermediate,45,0.7301,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time,Low Risk,Passive Learner,https://online.uom.lk/mod/resource/view.php?id=347768
ST1006,2,R017,Lab Session 3 (Git),UI/UX Design,URL/Lab,Intermediate,60,0.7082,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; strong gnn embedding similarity,Low Risk,Passive Learner,https://online.uom.lk/mod/url/view.php?id=351823
ST1006,3,R016,Introduction to UI/UX Design,UI/UX Design,PDF,Intermediate,45,0.545,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Low Risk,Passive Learner,https://online.uom.lk/mod/resource/view.php?id=350426
ST1006,4,R013,SRS Template - IEEE Standard,Requirements Engineering,PDF,Intermediate,30,0.5444,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Low Risk,Passive Learner,https://online.uom.lk/mod/resource/view.php?id=347769
ST1006,5,R015,In Class Activity - Group 02,Requirements Engineering,PDF,Intermediate,30,0.5438,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Low Risk,Passive Learner,https://online.uom.lk/mod/resource/view.php?id=348331
ST1006,6,R014,In Class Activity - Group 01,Requirements Engineering,PDF,Intermediate,30,0.5425,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Low Risk,Passive Learner,https://online.uom.lk/mod/resource/view.php?id=347770
ST1007,1,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.6032,Rule-based filter,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability; fits the available study time,High Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=349960
ST1007,2,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.6017,Rule-based filter,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability; fits the available study time,High Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=349961
ST1007,3,R030,Testing - Lecture Recording,Software Testing,Video,Intermediate,60,0.5912,Rule-based filter,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability; fits the available study time,High Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=354273
ST1007,4,R035,Testing Lecture and Lab (Recording),Software Testing,Video,Intermediate,90,0.5842,Rule-based filter,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability; fits the available study time,High Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=362804
ST1007,5,R021,Maven Lab Session (Recording),Software Development Models,URL/Video,Intermediate,45,0.5573,Context-aware,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability,High Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=351818
ST1007,6,R017,Lab Session 3 (Git),UI/UX Design,URL/Lab,Intermediate,60,0.5383,Context-aware,Knowledge-graph neighbour of a weak lesson; difficulty matches current ability; format suits the learning style; fits the available study time,High Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=351823
ST1008,1,R003,Lesson 01 - Software Engineering Methods,Software Engineering Methods,PDF,Foundational,45,0.9712,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; high tf-idf match to the need profile,High Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=342801
ST1008,2,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.5844,Context-aware,Difficulty matches current ability; format suits the learning style,High Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349960
ST1008,3,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.5774,Context-aware,Difficulty matches current ability; format suits the learning style,High Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349961
ST1008,4,R021,Maven Lab Session (Recording),Software Development Models,URL/Video,Intermediate,45,0.5674,Rule-based filter,Format suits the learning style; fits the available study time,High Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=351818
ST1008,5,R030,Testing - Lecture Recording,Software Testing,Video,Intermediate,60,0.5607,Context-aware,Format suits the learning style,High Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=354273
ST1008,6,R005,How to Install Git?,Software Development Models,URL/Video,Beginner,20,0.5586,Context-aware,Difficulty matches current ability; format suits the learning style,High Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=346074
ST1009,1,R031,Software Measurement,Software Measurement,PDF,Advanced,60,0.7256,Rule-based filter,Targets a lesson flagged as non-engaged; high tf-idf match to the need profile,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=353911
ST1009,2,R035,Testing Lecture and Lab (Recording),Software Testing,Video,Intermediate,90,0.5158,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=362804
ST1009,3,R030,Testing - Lecture Recording,Software Testing,Video,Intermediate,60,0.5114,Context-aware,Difficulty matches current ability; format suits the learning style,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=354273
ST1009,4,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.4877,Context-aware,Difficulty matches current ability; format suits the learning style,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349961
ST1009,5,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.4859,Context-aware,Difficulty matches current ability; format suits the learning style,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349960
ST1009,6,R037,Testing Lab + Containers (Recording),Software Development Models,Video,Advanced,90,0.475,Context-aware,Format suits the learning style; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=362805
ST1010,1,R028,Software Maintenance,Software Maintenance & Evolution,PDF,Intermediate,45,0.9248,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; high tf-idf match to the need profile,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=353761
ST1010,2,R030,Testing - Lecture Recording,Software Testing,Video,Intermediate,60,0.5398,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time; strong gnn embedding similarity,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=354273
ST1010,3,R021,Maven Lab Session (Recording),Software Development Models,URL/Video,Intermediate,45,0.5251,Rule-based filter,Difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=351818
ST1010,4,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.4929,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349960
ST1010,5,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.4923,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349961
ST1010,6,R027,Maven Lab - 2,Managing Software Projects,URL/Lab,Intermediate,45,0.4853,Rule-based filter,Difficulty matches current ability; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=354271
ST1011,1,R016,Introduction to UI/UX Design,UI/UX Design,PDF,Intermediate,45,0.9317,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; high tf-idf match to the need profile,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=350426
ST1011,2,R017,Lab Session 3 (Git),UI/UX Design,URL/Lab,Intermediate,60,0.9265,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=351823
ST1011,3,R027,Maven Lab - 2,Managing Software Projects,URL/Lab,Intermediate,45,0.5182,Rule-based filter,Difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=354271
ST1011,4,R010,Lab Session 02 - VCS Part 02,Agile & Scrum,PDF,Beginner,60,0.5089,Context-aware,Difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=347959
ST1011,5,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.5035,Rule-based filter,Difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=349961
ST1011,6,R006,Lab Session 01 - Version Control Systems (VCS),Software Development Models,PDF,Beginner,60,0.5032,Context-aware,Difficulty matches current ability; fits the available study time,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=346072
ST1012,1,R017,Lab Session 3 (Git),UI/UX Design,URL/Lab,Intermediate,60,0.9008,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=351823
ST1012,2,R016,Introduction to UI/UX Design,UI/UX Design,PDF,Intermediate,45,0.7405,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; high tf-idf match to the need profile; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=350426
ST1012,3,R006,Lab Session 01 - Version Control Systems (VCS),Software Development Models,PDF,Beginner,60,0.5029,Context-aware,Difficulty matches current ability,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=346072
ST1012,4,R010,Lab Session 02 - VCS Part 02,Agile & Scrum,PDF,Beginner,60,0.499,Context-aware,Difficulty matches current ability; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=347959
ST1012,5,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.4928,Context-aware,Difficulty matches current ability; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=349961
ST1012,6,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.4711,Context-aware,Difficulty matches current ability,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=349960
ST1013,1,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.8147,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; strong gnn embedding similarity,Medium Risk,Passive Learner,https://online.uom.lk/mod/url/view.php?id=349960
ST1013,2,R004,Lesson 02 - Software Development Models,Software Development Models,PDF,Beginner,45,0.8083,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; strong gnn embedding similarity,Medium Risk,Passive Learner,https://online.uom.lk/mod/resource/view.php?id=345474
ST1013,3,R006,Lab Session 01 - Version Control Systems (VCS),Software Development Models,PDF,Beginner,60,0.7329,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; strong gnn embedding similarity; revisit prerequisites first,Medium Risk,Passive Learner,https://online.uom.lk/mod/resource/view.php?id=346072
ST1013,4,R021,Maven Lab Session (Recording),Software Development Models,URL/Video,Intermediate,45,0.6678,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; strong gnn embedding similarity,Medium Risk,Passive Learner,https://online.uom.lk/mod/url/view.php?id=351818
ST1013,5,R005,How to Install Git?,Software Development Models,URL/Video,Beginner,20,0.6638,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; strong gnn embedding similarity,Medium Risk,Passive Learner,https://online.uom.lk/mod/url/view.php?id=346074
ST1013,6,R020,Maven Lab Session,Software Development Models,PDF,Intermediate,45,0.6005,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; strong gnn embedding similarity; revisit prerequisites first,Medium Risk,Passive Learner,https://online.uom.lk/mod/resource/view.php?id=351396
ST1014,1,R017,Lab Session 3 (Git),UI/UX Design,URL/Lab,Intermediate,60,0.8596,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=351823
ST1014,2,R016,Introduction to UI/UX Design,UI/UX Design,PDF,Intermediate,45,0.7271,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; high tf-idf match to the need profile; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=350426
ST1014,3,R006,Lab Session 01 - Version Control Systems (VCS),Software Development Models,PDF,Beginner,60,0.5,Context-aware,Difficulty matches current ability,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=346072
ST1014,4,R010,Lab Session 02 - VCS Part 02,Agile & Scrum,PDF,Beginner,60,0.4968,Context-aware,Difficulty matches current ability; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=347959
ST1014,5,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.486,Context-aware,Difficulty matches current ability; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=349961
ST1014,6,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.4718,Context-aware,Difficulty matches current ability,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=349960
ST1015,1,R012,Lesson 04 - Requirements Engineering,Requirements Engineering,PDF,Intermediate,45,0.8805,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; high tf-idf match to the need profile,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=347768
ST1015,2,R015,In Class Activity - Group 02,Requirements Engineering,PDF,Intermediate,30,0.6502,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; high tf-idf match to the need profile; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=348331
ST1015,3,R014,In Class Activity - Group 01,Requirements Engineering,PDF,Intermediate,30,0.6492,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; high tf-idf match to the need profile; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=347770
ST1015,4,R013,SRS Template - IEEE Standard,Requirements Engineering,PDF,Intermediate,30,0.6246,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; revisit prerequisites first,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=347769
ST1015,5,R006,Lab Session 01 - Version Control Systems (VCS),Software Development Models,PDF,Beginner,60,0.5095,Rule-based filter,Difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/resource/view.php?id=346072
ST1015,6,R017,Lab Session 3 (Git),UI/UX Design,URL/Lab,Intermediate,60,0.5057,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time; strong gnn embedding similarity,Medium Risk,Highly Engaged,https://online.uom.lk/mod/url/view.php?id=351823
ST1016,1,R002,Pre-reading Material,General,PDF,Foundational,30,0.8499,Rule-based filter,Targets a lesson flagged as non-engaged; format suits the learning style; high tf-idf match to the need profile,Medium Risk,Moderate Learner,https://online.uom.lk/mod/resource/view.php?id=342800
ST1016,2,R001,Software Engineering by Sommerville (Textbook),General,PDF,Foundational,120,0.7049,Rule-based filter,Targets a lesson flagged as non-engaged; format suits the learning style; high tf-idf match to the need profile,Medium Risk,Moderate Learner,https://online.uom.lk/mod/resource/view.php?id=350428
ST1016,3,R006,Lab Session 01 - Version Control Systems (VCS),Software Development Models,PDF,Beginner,60,0.5275,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time; strong gnn embedding similarity,Medium Risk,Moderate Learner,https://online.uom.lk/mod/resource/view.php?id=346072
ST1016,4,R010,Lab Session 02 - VCS Part 02,Agile & Scrum,PDF,Beginner,60,0.5104,Context-aware,Difficulty matches current ability; format suits the learning style; fits the available study time; strong gnn embedding similarity,Medium Risk,Moderate Learner,https://online.uom.lk/mod/resource/view.php?id=347959
ST1016,5,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.489,Rule-based filter,Difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Medium Risk,Moderate Learner,https://online.uom.lk/mod/url/view.php?id=349960
ST1016,6,R011,Lab Session 2 Recording,Agile & Scrum,Video,Beginner,60,0.486,Rule-based filter,Difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Medium Risk,Moderate Learner,https://online.uom.lk/mod/url/view.php?id=349961
ST1017,1,R004,Lesson 02 - Software Development Models,Software Development Models,PDF,Beginner,45,0.8691,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=345474
ST1017,2,R007,Lab Session 1 Recording,Software Development Models,Video,Beginner,60,0.8208,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; revisit prerequisites first,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=349960
ST1017,3,R005,How to Install Git?,Software Development Models,URL/Video,Beginner,20,0.8091,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; strong gnn embedding similarity,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=346074
ST1017,4,R006,Lab Session 01 - Version Control Systems (VCS),Software Development Models,PDF,Beginner,60,0.7589,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; strong gnn embedding similarity; revisit prerequisites first,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=346072
ST1017,5,R021,Maven Lab Session (Recording),Software Development Models,URL/Video,Intermediate,45,0.6901,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; format suits the learning style; fits the available study time,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=351818
ST1017,6,R018,Data Process Modeling,Software Development Models,PDF,Intermediate,45,0.6356,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,Medium Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=369879
ST1018,1,R012,Lesson 04 - Requirements Engineering,Requirements Engineering,PDF,Intermediate,45,0.9488,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,High Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=347768
ST1018,2,R017,Lab Session 3 (Git),UI/UX Design,URL/Lab,Intermediate,60,0.8903,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability,High Risk,At-Risk Learner,https://online.uom.lk/mod/url/view.php?id=351823
ST1018,3,R015,In Class Activity - Group 02,Requirements Engineering,PDF,Intermediate,30,0.7535,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,High Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=348331
ST1018,4,R016,Introduction to UI/UX Design,UI/UX Design,PDF,Intermediate,45,0.737,Rule-based filter,Targets a lesson flagged as non-engaged; difficulty matches current ability; fits the available study time; strong gnn embedding similarity,High Risk,At-Risk Learner,https://online.uom.lk/mod/resource/view.php?id=350426
